"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.142470340E-1,-6.251999855E0,-8.715999603E0,5.881999969E0,1.223331823E1
8.192280360E-1,-7.350999832E0,-8.508000374E0,5.644999981E0,1.258130731E1
8.242092310E-1,-8.210000038E0,-8.380000114E0,5.335999966E0,1.288803314E1
8.291902330E-1,-8.510999680E0,-8.343000412E0,4.889999866E0,1.288234723E1
8.341713850E-1,-8.151000023E0,-8.480999947E0,4.447000027E0,1.257545111E1
8.391523630E-1,-7.491000175E0,-8.748999596E0,4.087999821E0,1.222177647E1
8.441335150E-1,-6.920000076E0,-9.010000229E0,3.726999998E0,1.195646412E1
8.491145170E-1,-6.581999779E0,-9.123000145E0,3.448999882E0,1.176636957E1
8.540956690E-1,-6.572999954E0,-9.038000107E0,3.244999886E0,1.163700127E1
8.590765940E-1,-6.908999920E0,-8.772999763E0,3.096999884E0,1.158840856E1
8.640578280E-1,-7.651999950E0,-8.310999870E0,3.062999964E0,1.170503272E1
8.690387530E-1,-8.939000130E0,-7.788000107E0,3.292000055E0,1.230430548E1
8.740197530E-1,-1.060200024E1,-7.361000061E0,3.749000072E0,1.344030254E1
8.790009190E-1,-1.239500046E1,-7.114999771E0,4.282999992E0,1.491989769E1
8.839819210E-1,-1.420899963E1,-6.973000050E0,4.676000118E0,1.650404124E1
8.889630720E-1,-1.592599964E1,-6.846000195E0,4.894000053E0,1.801267386E1
8.939440980E-1,-1.752099991E1,-6.748000145E0,4.802999973E0,1.938013809E1
8.989252500E-1,-1.894599915E1,-6.650000095E0,4.587999821E0,2.059667758E1
9.039062720E-1,-2.024500084E1,-6.451000214E0,4.071000099E0,2.163442869E1
9.088874240E-1,-2.134199905E1,-6.354000092E0,3.171000004E0,2.249243166E1
9.138684260E-1,-2.221299934E1,-6.354000092E0,2.207000017E0,2.320908241E1
9.188495780E-1,-2.281699944E1,-6.372000217E0,1.332000017E0,2.372745402E1
9.238305800E-1,-2.311800003E1,-6.414000034E0,6.370000243E-1,2.399973106E1
9.288117320E-1,-2.322800064E1,-6.489999771E0,8.000000380E-3,2.411763203E1
9.337927140E-1,-2.324500084E1,-6.613999844E0,-6.380000114E-1,2.417606465E1
9.387738660E-1,-2.328100014E1,-6.778999805E0,-1.276999950E0,2.428148543E1
9.437548680E-1,-2.332799911E1,-7.025000095E0,-1.902999997E0,2.443701246E1
9.487357910E-1,-2.331299973E1,-7.284999847E0,-2.467999935E0,2.454909780E1
9.537170200E-1,-2.328199959E1,-7.513000011E0,-2.976000071E0,2.464453794E1
