"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.756169390E-1,-4.209000111E0,-3.619999886E0,-5.260000229E-1,5.576446640E0
7.805975350E-1,-4.006000042E0,-3.783999920E0,-8.209999800E-1,5.571421066E0
7.855782260E-1,-3.621000051E0,-3.994999886E0,-1.092000008E0,5.501284348E0
7.905588430E-1,-2.996999979E0,-4.131999969E0,-1.240000010E0,5.252907066E0
7.955396770E-1,-2.296000004E0,-4.225999832E0,-1.271999955E0,4.974803964E0
8.005202950E-1,-1.715999961E0,-4.370999813E0,-1.241000056E0,4.856992523E0
8.055009850E-1,-1.268000007E0,-4.501999855E0,-1.077999949E0,4.799782350E0
8.104816020E-1,-8.470000029E-1,-4.525000095E0,-8.280000091E-1,4.677458592E0
8.154624470E-1,-4.650000036E-1,-4.473000050E0,-6.159999967E-1,4.539097977E0
8.204430400E-1,-1.650000066E-1,-4.456999779E0,-3.849999905E-1,4.476639032E0
8.254237300E-1,9.899999946E-2,-4.425000191E0,-7.699999958E-2,4.426777235E0
8.304043340E-1,3.560000062E-1,-4.376999855E0,3.039999902E-1,4.401963168E0
8.353851780E-1,6.499999762E-1,-4.290999889E0,7.059999704E-1,4.397000793E0
8.403657950E-1,1.024999976E0,-4.177000046E0,1.054000020E0,4.428190418E0
8.453463960E-1,1.480000019E0,-3.947000027E0,1.363999963E0,4.430542311E0
8.503270860E-1,2.051000118E0,-3.611000061E0,1.610999942E0,4.454351102E0
8.553077030E-1,2.635999918E0,-3.247999907E0,1.804000020E0,4.555481866E0
8.602885640E-1,3.191999912E0,-2.940000057E0,1.817999959E0,4.705059790E0
8.652691810E-1,3.760999918E0,-2.624000072E0,1.618000031E0,4.862964205E0
8.702498710E-1,4.447999954E0,-2.286999941E0,1.225000024E0,5.149339509E0
8.752307310E-1,5.138000011E0,-2.023000002E0,6.840000153E-1,5.564119800E0
8.802113490E-1,5.683000088E0,-1.850999951E0,5.799999833E-2,5.977127639E0
8.851920440E-1,5.912000179E0,-1.748999953E0,-5.049999952E-1,6.185933394E0
8.901726620E-1,5.822000027E0,-1.633000016E0,-9.190000296E-1,6.116120864E0
8.951535060E-1,5.539999962E0,-1.470000029E0,-1.259999990E0,5.868568790E0
9.001341080E-1,5.192999840E0,-1.286999941E0,-1.534000039E0,5.565678063E0
9.051147230E-1,4.807000160E0,-1.156999946E0,-1.710000038E0,5.231634500E0
9.100954140E-1,4.402999878E0,-1.077000022E0,-1.800999999E0,4.877493000E0
9.150760220E-1,4.073999882E0,-9.909999967E-1,-1.797999978E0,4.562056548E0
9.200568660E-1,3.892999887E0,-9.269999862E-1,-1.718000054E0,4.355031720E0
9.250374930E-1,3.839999914E0,-9.079999924E-1,-1.539000034E0,4.235396609E0
9.300181830E-1,3.884000063E0,-8.320000172E-1,-1.378000021E0,4.204350672E0
9.349988000E-1,3.940999985E0,-7.059999704E-1,-1.167999983E0,4.170628346E0
9.399796400E-1,3.989000082E0,-6.209999919E-1,-9.639999866E-1,4.150549195E0
9.449602570E-1,4.185999870E0,-5.920000076E-1,-7.689999938E-1,4.297024542E0
9.499408720E-1,4.517000198E0,-6.520000100E-1,-6.370000243E-1,4.608054235E0
9.549215540E-1,4.991000175E0,-7.229999900E-1,-4.650000036E-1,5.064487806E0
9.599021710E-1,5.592999935E0,-7.340000272E-1,-2.460000068E-1,5.646319183E0
9.648830290E-1,6.230000019E0,-6.529999971E-1,1.000000015E-1,6.264926914E0
9.698637240E-1,6.847000122E0,-5.299999714E-1,5.709999800E-1,6.891179262E0
9.748443390E-1,7.372000217E0,-3.160000145E-1,1.100000024E0,7.460311204E0
9.798249730E-1,7.903999805E0,-5.600000173E-2,1.567000031E0,8.058029413E0
9.848058180E-1,8.184000015E0,1.459999979E-1,1.970999956E0,8.419264402E0
