"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.110752430E-1,-5.547999859E0,5.690000057E-1,-2.240000069E-1,5.581598288E0
9.160561660E-1,-5.717000008E0,4.690000117E-1,-1.230000034E-1,5.737523778E0
9.210370940E-1,-5.795000076E0,3.729999959E-1,-1.150000021E-1,5.808130498E0
9.260179400E-1,-5.796000004E0,2.890000045E-1,-2.169999927E-1,5.807256327E0
9.309988610E-1,-5.702000141E0,3.190000057E-1,-3.659999967E-1,5.722632490E0
9.359797890E-1,-5.531000137E0,3.750000000E-1,-4.990000129E-1,5.566110719E0
9.409607120E-1,-5.328000069E0,3.630000055E-1,-6.290000081E-1,5.377266475E0
9.459416490E-1,-5.126999855E0,2.419999987E-1,-8.040000200E-1,5.195296675E0
9.509225730E-1,-5.002999783E0,6.599999964E-2,-1.092000008E0,5.121213415E0
9.559034960E-1,-4.995999813E0,-3.500000015E-2,-1.429999948E0,5.196743113E0
9.608844330E-1,-5.071000099E0,-4.899999872E-2,-1.773000002E0,5.372240874E0
9.658653560E-1,-5.136000156E0,-6.700000167E-2,-1.960999966E0,5.498045787E0
9.708462790E-1,-5.046999931E0,-1.080000028E-1,-1.947999954E0,5.410968132E0
9.758272550E-1,-4.797999859E0,-2.160000056E-1,-1.822000027E0,5.136841709E0
9.808081780E-1,-4.530000210E0,-3.190000057E-1,-1.695999980E0,4.847584846E0
9.857891010E-1,-4.355999947E0,-3.580000103E-1,-1.475000024E0,4.612865120E0
9.907698050E-1,-4.304999828E0,-3.379999995E-1,-1.200000048E0,4.481882153E0
9.957507270E-1,-4.276000023E0,-3.709999919E-1,-9.350000024E-1,4.392726055E0
1.000731885E0,-4.211999893E0,-5.030000210E-1,-7.350000143E-1,4.305133812E0
1.005712580E0,-4.144000053E0,-6.389999986E-1,-6.309999824E-1,4.240190847E0
1.010693501E0,-4.137000084E0,-6.529999971E-1,-5.659999847E-1,4.226290888E0
1.015674419E0,-4.144999981E0,-6.549999714E-1,-5.379999876E-1,4.230779336E0
1.020655342E0,-4.271999836E0,-6.909999847E-1,-6.010000110E-1,4.369057632E0
1.025636265E0,-4.277999878E0,-7.149999738E-1,-7.540000081E-1,4.402388435E0
1.030617183E0,-4.244999886E0,-7.340000272E-1,-7.229999900E-1,4.368238667E0
1.035598106E0,-4.313000202E0,-7.730000019E-1,-7.580000162E-1,4.446803770E0
1.040579043E0,-4.401000023E0,-8.130000234E-1,-9.269999862E-1,4.570459409E0
1.045559966E0,-4.495999813E0,-8.610000014E-1,-1.067000031E0,4.700406832E0
1.050540890E0,-4.599999905E0,-8.899999857E-1,-1.228999972E0,4.843814615E0
1.055521790E0,-4.630000114E0,-9.359999895E-1,-1.335000038E0,4.908688434E0
1.060502714E0,-4.597000122E0,-9.559999704E-1,-1.299000025E0,4.871729378E0
1.065483637E0,-4.606999874E0,-9.480000138E-1,-1.154000044E0,4.843022607E0
1.070464522E0,-4.597000122E0,-9.649999738E-1,-9.549999833E-1,4.793293235E0
1.075445443E0,-4.598999977E0,-9.530000091E-1,-7.070000172E-1,4.749616704E0
1.080426375E0,-4.581999779E0,-9.689999819E-1,-4.480000138E-1,4.704719646E0
1.085407298E0,-4.543000221E0,-9.879999757E-1,-1.209999993E-1,4.650767244E0
1.090388221E0,-4.531000137E0,-1.023000002E0,1.879999936E-1,4.648853111E0
1.095369139E0,-4.474999905E0,-1.041000009E0,3.470000029E-1,4.607571396E0
1.100350063E0,-4.455999851E0,-9.969999790E-1,4.930000007E-1,4.592710815E0
1.105330973E0,-4.497000217E0,-9.520000219E-1,5.839999914E-1,4.633613168E0
1.110311897E0,-4.548999786E0,-9.240000248E-1,5.130000114E-1,4.670154614E0
1.115292820E0,-4.537000179E0,-9.530000091E-1,3.619999886E-1,4.650120819E0
1.120273743E0,-4.467000008E0,-1.006999969E0,1.120000035E-1,4.580467444E0
1.125254666E0,-4.379000187E0,-1.087000012E0,-2.029999942E-1,4.516461077E0
1.130235565E0,-4.353000164E0,-1.090000033E0,-4.410000145E-1,4.509012255E0
1.135216488E0,-4.388000011E0,-1.052999973E0,-5.619999766E-1,4.547438512E0
1.140197411E0,-4.429999828E0,-1.072000027E0,-6.729999781E-1,4.607278102E0
1.145178334E0,-4.412000179E0,-1.197999954E0,-7.099999785E-1,4.626559136E0
1.150159257E0,-4.396999836E0,-1.302999973E0,-7.009999752E-1,4.639269065E0
1.155140141E0,-4.447000027E0,-1.271000028E0,-5.950000286E-1,4.663182963E0
1.160121064E0,-4.553999901E0,-1.149999976E0,-3.429999948E-1,4.709465366E0
1.165101987E0,-4.597000122E0,-1.062999964E0,-1.000000047E-3,4.718302666E0
1.170082895E0,-4.533999920E0,-9.589999914E-1,3.140000105E-1,4.644936196E0
1.175063818E0,-4.396999836E0,-9.110000134E-1,5.759999752E-1,4.527174014E0
1.180044707E0,-4.301000118E0,-9.039999843E-1,8.690000176E-1,4.480064622E0
