"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.371751072E0,4.219999909E-1,-9.437000275E0,3.212799835E1,3.348795808E1
1.376732192E0,2.520000041E-1,-9.739999771E0,3.169199944E1,3.315590336E1
1.381713194E0,8.900000155E-2,-9.442000389E0,3.117300034E1,3.257169388E1
1.386694108E0,7.999999821E-2,-9.104000092E0,3.038899994E1,3.172350130E1
1.391675260E0,9.099999815E-2,-8.788000107E0,2.875499916E1,3.006804290E1
1.396656262E0,1.040000021E-1,-8.670000076E0,2.678700066E1,2.815533913E1
1.401637375E0,1.499999966E-2,-8.809000015E0,2.473100090E1,2.625302100E1
1.406618300E0,-7.000000216E-3,-9.352999687E0,2.280800056E1,2.465123814E1
1.411599298E0,-1.400000006E-1,-1.004800034E1,2.092399979E1,2.321197273E1
1.416580218E0,-7.419999838E-1,-1.075599957E1,1.904999924E1,2.188937097E1
1.421561370E0,-1.662999988E0,-1.149899960E1,1.779599953E1,2.125300355E1
1.426542372E0,-2.615000010E0,-1.197599983E1,1.714800072E1,2.107882173E1
1.431523310E0,-3.572000027E0,-1.229899979E1,1.680500031E1,2.112895206E1
1.436504462E0,-4.448999882E0,-1.277600002E1,1.683799934E1,2.159949070E1
1.441485464E0,-4.909999847E0,-1.323499966E1,1.712299919E1,2.219167447E1
1.446466616E0,-4.872000217E0,-1.343000031E1,1.739900017E1,2.251280749E1
1.451447541E0,-4.462999821E0,-1.370600033E1,1.761499977E1,2.276095405E1
1.456428572E0,-3.927999973E0,-1.404500008E1,1.768700027E1,2.292424894E1
1.461409497E0,-3.618000031E0,-1.432499981E1,1.781999969E1,2.314838942E1
1.466390649E0,-3.480000019E0,-1.458600044E1,1.814399910E1,2.353861747E1
1.471371651E0,-3.447000027E0,-1.506099987E1,1.859900093E1,2.417929614E1
1.476352803E0,-3.710999966E0,-1.560999966E1,1.917700005E1,2.500401849E1
1.481333728E0,-4.370999813E0,-1.618899918E1,1.982099915E1,2.596269132E1
1.486314755E0,-5.111000061E0,-1.679100037E1,2.036100006E1,2.688178451E1
1.491295909E0,-5.843999863E0,-1.752199936E1,2.055800056E1,2.763700749E1
1.496276911E0,-6.678999901E0,-1.852700043E1,2.011000061E1,2.814730731E1
1.501257829E0,-7.309000015E0,-1.959900093E1,1.954700089E1,2.862913834E1
1.506238981E0,-7.755000114E0,-2.026700020E1,1.891699982E1,2.878791771E1
1.511219998E0,-8.281000137E0,-2.055599976E1,1.819799995E1,2.867562190E1
1.516201150E0,-8.812000275E0,-2.049300003E1,1.774399948E1,2.850375268E1
1.521182075E0,-9.119999886E0,-2.019899940E1,1.770100021E1,2.836369834E1
1.526163068E0,-9.128999710E0,-2.006900024E1,1.813299942E1,2.854661231E1
1.531144222E0,-8.788000107E0,-2.008900070E1,1.846800041E1,2.866816936E1
1.536125224E0,-8.031000137E0,-2.024200058E1,1.879000092E1,2.876281775E1
1.541106142E0,-7.076000214E0,-2.035000038E1,1.905500031E1,2.876256823E1
1.546087294E0,-6.359000206E0,-2.033200073E1,1.909199905E1,2.860649516E1
1.551068219E0,-5.991000175E0,-2.042300034E1,1.887400055E1,2.844677350E1
1.556049442E0,-5.864999771E0,-2.057600021E1,1.863599968E1,2.837376413E1
1.561030368E0,-8.770999908E0,-1.737999916E1,1.670599937E1,2.565317184E1
1.566011291E0,-8.826999664E0,-1.706599998E1,1.640800095E1,2.526631698E1
1.570992309E0,-8.944999695E0,-1.686499977E1,1.627300072E1,2.508489165E1
1.575973462E0,-9.076999664E0,-1.697800064E1,1.646500015E1,2.533260071E1
1.580954479E0,-9.164999962E0,-1.711100006E1,1.667900085E1,2.559243281E1
1.585935402E0,-9.338000298E0,-1.733399963E1,1.654599953E1,2.571839601E1
1.590916553E0,-9.574000359E0,-1.800000000E1,1.603000069E1,2.593496491E1
1.595897598E0,-9.729999542E0,-1.871100044E1,1.551799965E1,2.618363500E1
1.600878750E0,-9.890999794E0,-1.893600082E1,1.512699986E1,2.617690067E1
1.605859694E0,-9.883000374E0,-1.892600060E1,1.449699974E1,2.580756084E1
1.610840692E0,-9.723999977E0,-1.893199921E1,1.357100010E1,2.524180685E1
1.615821846E0,-9.314000130E0,-1.896899986E1,1.262600040E1,2.461685277E1
1.620802882E0,-9.001000404E0,-1.889100075E1,1.170899963E1,2.397891970E1
1.625783805E0,-9.098999977E0,-1.873100090E1,1.077900028E1,2.344843369E1
1.630764957E0,-9.475000381E0,-1.837899971E1,1.005300045E1,2.299186988E1
1.635745945E0,-9.798000336E0,-1.804999924E1,9.350999832E0,2.256644591E1
1.640726868E0,-9.961999893E0,-1.781500053E1,8.760000229E0,2.221155758E1
1.645708020E0,-1.007100010E1,-1.734900093E1,8.230999947E0,2.168322477E1
1.650689026E0,-1.001399994E1,-1.665800095E1,7.520999908E0,2.084069648E1
1.655669949E0,-9.859999657E0,-1.592199993E1,6.724999905E0,1.989862555E1
1.660651087E0,-9.711000443E0,-1.529699993E1,6.026999950E0,1.909519481E1
1.665632089E0,-9.689000130E0,-1.470699978E1,5.493999958E0,1.844875610E1
1.670613207E0,-9.583000183E0,-1.410799980E1,5.096000195E0,1.779996542E1
1.675594132E0,-9.156999588E0,-1.361699963E1,4.811999798E0,1.710054567E1
1.680575116E0,-8.482000351E0,-1.336299992E1,4.508999825E0,1.645737452E1
1.685556270E0,-7.949999809E0,-1.309000015E1,4.381000042E0,1.592933653E1
